t,x,y,z, HasCollision
8.53265,191.8585,-44.72364,-7.168169,False
8.549084,191.5239,-45.72951,-5.796517,False
8.566212,191.0857,-46.98169,-4.207101,False
8.58276,190.5682,-48.39278,-2.537772,False
8.599606,189.9342,-50.0466,-0.712822,False
8.615971,189.2585,-51.80909,1.232039,False
8.632633,188.451,-53.8294,3.312445,False
8.649296,187.5144,-56.08121,5.476407,False
8.665829,186.4485,-58.54766,7.687608,False
8.682484,185.2263,-61.27364,9.965836,False
8.699352,183.8284,-64.28228,12.30712,False
8.716328,182.3324,-67.50203,14.81268,False
8.732464,180.7473,-70.79705,17.19634,False
8.749256,178.916,-74.47697,19.66576,False
8.76601,176.9029,-78.38946,22.09455,False
8.78265,174.811,-82.32397,24.34633,False
8.799313,172.6258,-86.30297,26.43688,False
8.816044,170.4303,-90.30069,28.53726,False
8.833286,168.0759,-94.45222,30.52912,False
8.850269,165.666,-98.56842,32.32086,False
8.86652,163.2751,-102.5243,33.87039,False
8.883076,160.7543,-106.5647,35.2798,False
8.900143,158.0698,-110.733,36.55746,False
8.916668,155.3887,-114.765,37.62429,False
8.933292,152.6915,-118.8214,38.69759,False
8.950649,149.7931,-123.0424,39.63841,False
8.966778,147.0234,-126.9475,40.3462,False
8.984364,143.9254,-131.1746,40.93591,False
9.000195,141.0659,-134.949,41.30392,False
9.016293,138.1581,-138.7872,41.67815,False
9.032497,135.1623,-142.6104,41.88867,False
9.049824,131.8893,-146.6466,41.93713,False
9.065792,128.8088,-150.3148,41.82029,False
9.082699,125.4848,-154.1339,41.52726,False
9.099209,122.1788,-157.7957,41.07742,False
9.115818,118.8544,-161.4778,40.62509,False
9.131992,115.5603,-164.9915,40.02615,False
9.148594,112.1261,-168.5154,39.25142,False
9.165569,108.5637,-172.0276,38.29844,False
9.182568,104.9481,-175.4474,37.18594,False
9.198895,101.4327,-178.6327,35.96864,False
9.215611,97.83414,-181.8933,34.72251,False
9.232014,94.26178,-184.9886,33.35302,False
9.248768,90.57517,-188.037,31.80823,False
